"","Id","MSSubClass","MSZoning","LotArea","LotShape","LotConfig","Neighborhood","Condition1","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtUnfSF","TotalBsmtSF","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","GarageType","GarageFinish","GarageCars","GarageArea","PavedDrive","WoodDeckSF","OpenPorchSF","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
"11",11,20,"RL",11200,"Reg","Inside","Sawyer","Norm","1Fam","1Story",5,5,1965,1965,"Hip","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","No","Rec",906,134,1040,"Ex","Y","SBrkr",1040,0,1040,1,0,1,0,3,"TA",5,0,"Detchd","Unf",1,384,"Y",0,0,2,2008,"WD","Normal",129500
"12",12,60,"RL",11924,"IR1","Inside","NridgHt","Norm","1Fam","2Story",9,5,2005,2006,"Hip","WdShing","Wd Shng","Stone",286,"Ex","TA","PConc","Ex","No","GLQ",998,177,1175,"Ex","Y","SBrkr",1182,1142,2324,1,0,3,0,4,"Ex",11,2,"BuiltIn","Fin",3,736,"Y",147,21,7,2006,"New","Partial",345000
"13",13,20,"RL",12968,"IR2","Inside","Sawyer","Norm","1Fam","1Story",5,6,1962,1962,"Hip","HdBoard","Plywood","None",0,"TA","TA","CBlock","TA","No","ALQ",737,175,912,"TA","Y","SBrkr",912,0,912,1,0,1,0,2,"TA",4,0,"Detchd","Unf",1,352,"Y",140,0,9,2008,"WD","Normal",144000
"14",14,20,"RL",10652,"IR1","Inside","CollgCr","Norm","1Fam","1Story",7,5,2006,2007,"Gable","VinylSd","VinylSd","Stone",306,"Gd","TA","PConc","Gd","Av","Unf",0,1494,1494,"Ex","Y","SBrkr",1494,0,1494,0,0,2,0,3,"Gd",7,1,"Attchd","RFn",3,840,"Y",160,33,8,2007,"New","Partial",279500
"15",15,20,"RL",10920,"IR1","Corner","NAmes","Norm","1Fam","1Story",6,5,1960,1960,"Hip","MetalSd","MetalSd","BrkFace",212,"TA","TA","CBlock","TA","No","BLQ",733,520,1253,"TA","Y","SBrkr",1253,0,1253,1,0,1,1,2,"TA",5,1,"Attchd","RFn",1,352,"Y",0,213,5,2008,"WD","Normal",157000
"16",16,45,"RM",6120,"Reg","Corner","BrkSide","Norm","1Fam","1.5Unf",7,8,1929,2001,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","No","Unf",0,832,832,"Ex","Y","FuseA",854,0,854,0,0,1,0,2,"TA",5,0,"Detchd","Unf",2,576,"Y",48,112,7,2007,"WD","Normal",132000
"17",17,20,"RL",11241,"IR1","CulDSac","NAmes","Norm","1Fam","1Story",6,7,1970,1970,"Gable","Wd Sdng","Wd Sdng","BrkFace",180,"TA","TA","CBlock","TA","No","ALQ",578,426,1004,"Ex","Y","SBrkr",1004,0,1004,1,0,1,0,2,"TA",5,1,"Attchd","Fin",2,480,"Y",0,0,3,2010,"WD","Normal",149000
"18",18,90,"RL",10791,"Reg","Inside","Sawyer","Norm","Duplex","1Story",4,5,1967,1967,"Gable","MetalSd","MetalSd","None",0,"TA","TA","Slab","TA","No","Unf",0,0,0,"TA","Y","SBrkr",1296,0,1296,0,0,2,0,2,"TA",6,0,"CarPort","Unf",2,516,"Y",0,0,10,2006,"WD","Normal",90000
"19",19,20,"RL",13695,"Reg","Inside","SawyerW","RRAe","1Fam","1Story",5,5,2004,2004,"Gable","VinylSd","VinylSd","None",0,"TA","TA","PConc","TA","No","GLQ",646,468,1114,"Ex","Y","SBrkr",1114,0,1114,1,0,1,1,3,"Gd",6,0,"Detchd","Unf",2,576,"Y",0,102,6,2008,"WD","Normal",159000
"20",20,20,"RL",7560,"Reg","Inside","NAmes","Norm","1Fam","1Story",5,6,1958,1965,"Hip","BrkFace","Plywood","None",0,"TA","TA","CBlock","TA","No","LwQ",504,525,1029,"TA","Y","SBrkr",1339,0,1339,0,0,1,0,3,"TA",6,0,"Attchd","Unf",1,294,"Y",0,0,5,2009,"COD","Abnorml",139000
"21",21,60,"RL",14215,"IR1","Corner","NridgHt","Norm","1Fam","2Story",8,5,2005,2006,"Gable","VinylSd","VinylSd","BrkFace",380,"Gd","TA","PConc","Ex","Av","Unf",0,1158,1158,"Ex","Y","SBrkr",1158,1218,2376,0,0,3,1,4,"Gd",9,1,"BuiltIn","RFn",3,853,"Y",240,154,11,2006,"New","Partial",325300
"22",22,45,"RM",7449,"Reg","Inside","IDOTRR","Norm","1Fam","1.5Unf",7,7,1930,1950,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","TA","No","Unf",0,637,637,"Ex","Y","FuseF",1108,0,1108,0,0,1,0,3,"Gd",6,1,"Attchd","Unf",1,280,"N",0,0,6,2007,"WD","Normal",139400
"23",23,20,"RL",9742,"Reg","Inside","CollgCr","Norm","1Fam","1Story",8,5,2002,2002,"Hip","VinylSd","VinylSd","BrkFace",281,"Gd","TA","PConc","Gd","No","Unf",0,1777,1777,"Ex","Y","SBrkr",1795,0,1795,0,0,2,0,3,"Gd",7,1,"Attchd","RFn",2,534,"Y",171,159,9,2008,"WD","Normal",230000
"24",24,120,"RM",4224,"Reg","Inside","MeadowV","Norm","TwnhsE","1Story",5,7,1976,1976,"Gable","CemntBd","CmentBd","None",0,"TA","TA","PConc","Gd","No","GLQ",840,200,1040,"TA","Y","SBrkr",1060,0,1060,1,0,1,0,3,"TA",6,1,"Attchd","Unf",2,572,"Y",100,110,6,2007,"WD","Normal",129900
"25",25,20,"RL",8246,"IR1","Inside","Sawyer","Norm","1Fam","1Story",5,8,1968,2001,"Gable","Plywood","Plywood","None",0,"TA","Gd","CBlock","TA","Mn","Rec",188,204,1060,"Ex","Y","SBrkr",1060,0,1060,1,0,1,0,3,"Gd",6,1,"Attchd","Unf",1,270,"Y",406,90,5,2010,"WD","Normal",154000
"26",26,20,"RL",14230,"Reg","Corner","NridgHt","Norm","1Fam","1Story",8,5,2007,2007,"Gable","VinylSd","VinylSd","Stone",640,"Gd","TA","PConc","Gd","No","Unf",0,1566,1566,"Ex","Y","SBrkr",1600,0,1600,0,0,2,0,3,"Gd",7,1,"Attchd","RFn",3,890,"Y",0,56,7,2009,"WD","Normal",256300
"27",27,20,"RL",7200,"Reg","Corner","NAmes","Norm","1Fam","1Story",5,7,1951,2000,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","Mn","BLQ",234,180,900,"TA","Y","SBrkr",900,0,900,0,1,1,0,3,"Gd",5,0,"Detchd","Unf",2,576,"Y",222,32,5,2010,"WD","Normal",134800
"28",28,20,"RL",11478,"Reg","Inside","NridgHt","Norm","1Fam","1Story",8,5,2007,2008,"Gable","VinylSd","VinylSd","Stone",200,"Gd","TA","PConc","Ex","No","GLQ",1218,486,1704,"Ex","Y","SBrkr",1704,0,1704,1,0,2,0,3,"Gd",7,1,"Attchd","RFn",3,772,"Y",0,50,5,2010,"WD","Normal",306000
"29",29,20,"RL",16321,"IR1","CulDSac","NAmes","Norm","1Fam","1Story",5,6,1957,1997,"Gable","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","Gd","BLQ",1277,207,1484,"TA","Y","SBrkr",1600,0,1600,1,0,1,0,2,"TA",6,2,"Attchd","RFn",1,319,"Y",288,258,12,2006,"WD","Normal",207500
"30",30,30,"RM",6324,"IR1","Inside","BrkSide","Feedr","1Fam","1Story",4,6,1927,1950,"Gable","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","No","Unf",0,520,520,"Fa","N","SBrkr",520,0,520,0,0,1,0,1,"Fa",4,0,"Detchd","Unf",1,240,"Y",49,0,5,2008,"WD","Normal",68500
"31",31,70,"C (all)",8500,"Reg","Inside","IDOTRR","Feedr","1Fam","2Story",4,4,1920,1950,"Gambrel","BrkFace","BrkFace","None",0,"TA","Fa","BrkTil","TA","No","Unf",0,649,649,"TA","N","SBrkr",649,668,1317,0,0,1,0,3,"TA",6,0,"Detchd","Unf",1,250,"N",0,54,7,2008,"WD","Normal",40000
"32",32,20,"RL",8544,"IR1","CulDSac","Sawyer","Norm","1Fam","1Story",5,6,1966,2006,"Gable","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","No","Unf",0,1228,1228,"Gd","Y","SBrkr",1228,0,1228,0,0,1,1,3,"Gd",6,0,"Attchd","Unf",1,271,"Y",0,65,6,2008,"WD","Normal",149350
"33",33,20,"RL",11049,"Reg","Corner","CollgCr","Norm","1Fam","1Story",8,5,2007,2007,"Gable","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Ex","Av","Unf",0,1234,1234,"Ex","Y","SBrkr",1234,0,1234,0,0,2,0,3,"Gd",7,0,"Attchd","RFn",2,484,"Y",0,30,1,2008,"WD","Normal",179900
"34",34,20,"RL",10552,"IR1","Inside","NAmes","Norm","1Fam","1Story",5,5,1959,1959,"Hip","BrkFace","BrkFace","None",0,"TA","TA","CBlock","TA","No","Rec",1018,380,1398,"Gd","Y","SBrkr",1700,0,1700,0,1,1,1,4,"Gd",6,1,"Attchd","RFn",2,447,"Y",0,38,4,2010,"WD","Normal",165500
"35",35,120,"RL",7313,"Reg","Inside","NridgHt","Norm","TwnhsE","1Story",9,5,2005,2005,"Hip","MetalSd","MetalSd","BrkFace",246,"Ex","TA","PConc","Ex","No","GLQ",1153,408,1561,"Ex","Y","SBrkr",1561,0,1561,1,0,2,0,2,"Ex",6,1,"Attchd","Fin",2,556,"Y",203,47,8,2007,"WD","Normal",277500
"36",36,60,"RL",13418,"Reg","Inside","NridgHt","Norm","1Fam","2Story",8,5,2004,2005,"Gable","VinylSd","VinylSd","Stone",132,"Gd","TA","PConc","Ex","Av","Unf",0,1117,1117,"Ex","Y","SBrkr",1132,1320,2452,0,0,3,1,4,"Gd",9,1,"BuiltIn","Fin",3,691,"Y",113,32,9,2006,"WD","Normal",309000
"37",37,20,"RL",10859,"Reg","Corner","CollgCr","Norm","1Fam","1Story",5,5,1994,1995,"Gable","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","No","Unf",0,1097,1097,"Ex","Y","SBrkr",1097,0,1097,0,0,1,1,3,"TA",6,0,"Attchd","Unf",2,672,"Y",392,64,6,2009,"WD","Normal",145000
"38",38,20,"RL",8532,"Reg","Inside","NAmes","Norm","1Fam","1Story",5,6,1954,1990,"Hip","Wd Sdng","Wd Sdng","BrkFace",650,"TA","TA","CBlock","TA","No","Rec",1213,84,1297,"Gd","Y","SBrkr",1297,0,1297,0,1,1,0,3,"TA",5,1,"Attchd","Fin",2,498,"Y",0,0,10,2009,"WD","Normal",153000
"39",39,20,"RL",7922,"Reg","Inside","NAmes","Norm","1Fam","1Story",5,7,1953,2007,"Gable","VinylSd","VinylSd","None",0,"TA","Gd","CBlock","TA","No","GLQ",731,326,1057,"TA","Y","SBrkr",1057,0,1057,1,0,1,0,3,"Gd",5,0,"Detchd","Unf",1,246,"Y",0,52,1,2010,"WD","Abnorml",109000
"40",40,90,"RL",6040,"Reg","Inside","Edwards","Norm","Duplex","1Story",4,5,1955,1955,"Gable","AsbShng","Plywood","None",0,"TA","TA","PConc","TA","No","Unf",0,0,0,"TA","N","FuseP",1152,0,1152,0,0,2,0,2,"Fa",6,0,"Attchd","Unf",0,0,"N",0,0,6,2008,"WD","AdjLand",82000
"41",41,20,"RL",8658,"Reg","Inside","NAmes","Norm","1Fam","1Story",6,5,1965,1965,"Gable","Wd Sdng","Wd Sdng","BrkFace",101,"TA","TA","CBlock","TA","No","Rec",643,445,1088,"Ex","Y","SBrkr",1324,0,1324,0,0,2,0,3,"TA",6,1,"Attchd","RFn",2,440,"Y",0,138,12,2006,"WD","Abnorml",160000
"42",42,20,"RL",16905,"Reg","Inside","Timber","Norm","1Fam","1Story",5,6,1959,1959,"Gable","VinylSd","VinylSd","None",0,"TA","Gd","CBlock","TA","Gd","BLQ",967,383,1350,"Gd","Y","SBrkr",1328,0,1328,0,1,1,1,2,"TA",5,2,"Attchd","RFn",1,308,"P",0,104,7,2007,"WD","Normal",170000
"43",43,85,"RL",9180,"IR1","CulDSac","SawyerW","Norm","1Fam","SFoyer",5,7,1983,1983,"Gable","HdBoard","HdBoard","None",0,"TA","TA","CBlock","Gd","Av","ALQ",747,0,840,"Gd","Y","SBrkr",884,0,884,1,0,1,0,2,"Gd",5,0,"Attchd","RFn",2,504,"Y",240,0,12,2007,"WD","Normal",144000
"44",44,20,"RL",9200,"IR1","CulDSac","CollgCr","Norm","1Fam","1Story",5,6,1975,1980,"Hip","VinylSd","VinylSd","None",0,"TA","TA","CBlock","Gd","Av","LwQ",280,167,938,"TA","Y","SBrkr",938,0,938,1,0,1,0,3,"TA",5,0,"Detchd","Unf",1,308,"Y",145,0,7,2008,"WD","Normal",130250
"45",45,20,"RL",7945,"Reg","Inside","NAmes","Norm","1Fam","1Story",5,6,1959,1959,"Gable","BrkFace","Wd Sdng","None",0,"TA","TA","CBlock","TA","No","ALQ",179,465,1150,"Ex","Y","FuseA",1150,0,1150,1,0,1,0,3,"TA",6,0,"Attchd","RFn",1,300,"Y",0,0,5,2006,"WD","Normal",141000
"46",46,120,"RL",7658,"Reg","Inside","NridgHt","Norm","TwnhsE","1Story",9,5,2005,2005,"Hip","MetalSd","MetalSd","BrkFace",412,"Ex","TA","PConc","Ex","No","GLQ",456,1296,1752,"Ex","Y","SBrkr",1752,0,1752,1,0,2,0,2,"Ex",6,1,"Attchd","RFn",2,576,"Y",196,82,2,2010,"WD","Normal",319900
"47",47,50,"RL",12822,"IR1","CulDSac","Mitchel","Norm","1Fam","1.5Fin",7,5,2003,2003,"Gable","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Ex","No","GLQ",1351,83,1434,"Ex","Y","SBrkr",1518,631,2149,1,0,1,1,1,"Gd",6,1,"Attchd","RFn",2,670,"Y",168,43,8,2009,"WD","Abnorml",239686
"48",48,20,"FV",11096,"Reg","Inside","Somerst","Norm","1Fam","1Story",8,5,2006,2006,"Gable","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","Av","GLQ",24,1632,1656,"Ex","Y","SBrkr",1656,0,1656,0,0,2,0,3,"Gd",7,0,"Attchd","RFn",3,826,"Y",0,146,7,2007,"WD","Normal",249700
"49",49,190,"RM",4456,"Reg","Inside","OldTown","Norm","2fmCon","2Story",4,5,1920,2008,"Gable","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","No","Unf",0,736,736,"Gd","Y","SBrkr",736,716,1452,0,0,2,0,2,"TA",8,0,"Attchd","Unf",0,0,"N",0,0,6,2009,"New","Partial",113000
"50",50,20,"RL",7742,"Reg","Inside","Sawyer","Norm","1Fam","1Story",5,7,1966,1966,"Gable","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","No","BLQ",763,192,955,"Ex","Y","SBrkr",955,0,955,1,0,1,0,3,"TA",6,0,"Attchd","Unf",1,386,"Y",0,0,1,2007,"WD","Normal",127000
"51",51,60,"RL",13869,"IR2","Corner","Gilbert","Norm","1Fam","2Story",6,6,1997,1997,"Gable","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","Av","GLQ",182,612,794,"Gd","Y","SBrkr",794,676,1470,0,1,2,0,3,"TA",6,0,"Attchd","Fin",2,388,"Y",0,75,7,2007,"WD","Normal",177000
"52",52,50,"RM",6240,"Reg","Inside","BrkSide","Norm","1Fam","1.5Fin",6,6,1934,1950,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","TA","No","Unf",0,816,816,"TA","Y","SBrkr",816,0,1176,0,0,1,0,3,"TA",6,1,"Detchd","Unf",2,528,"Y",112,0,9,2006,"WD","Normal",114500
"53",53,90,"RM",8472,"IR2","Corner","IDOTRR","RRNn","Duplex","1Story",5,5,1963,1963,"Gable","Wd Sdng","Wd Sdng","None",0,"Fa","TA","CBlock","Gd","Gd","LwQ",104,0,816,"TA","N","SBrkr",816,0,816,1,0,1,0,2,"TA",5,0,"CarPort","Unf",2,516,"Y",106,0,5,2010,"WD","Normal",110000
"54",54,20,"RL",50271,"IR1","Inside","Veenker","Norm","1Fam","1Story",9,5,1981,1987,"Gable","WdShing","Wd Shng","None",0,"Gd","TA","CBlock","Ex","Gd","GLQ",1810,32,1842,"Gd","Y","SBrkr",1842,0,1842,2,0,0,1,0,"Gd",5,1,"Attchd","Fin",3,894,"Y",857,72,11,2006,"WD","Normal",385000
"55",55,80,"RL",7134,"Reg","Inside","NAmes","Norm","1Fam","SLvl",5,5,1955,1955,"Gable","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","No","ALQ",384,0,384,"TA","Y","SBrkr",1360,0,1360,0,0,1,0,3,"TA",6,1,"Detchd","Unf",2,572,"Y",0,50,2,2007,"WD","Normal",130000
"56",56,20,"RL",10175,"IR1","Inside","NAmes","Norm","1Fam","1Story",6,5,1964,1964,"Gable","HdBoard","Plywood","BrkFace",272,"TA","TA","CBlock","TA","No","BLQ",490,935,1425,"Gd","Y","SBrkr",1425,0,1425,0,0,2,0,3,"TA",7,1,"Attchd","RFn",2,576,"Y",0,0,7,2008,"WD","Normal",180500
"57",57,160,"FV",2645,"Reg","Inside","Somerst","Norm","Twnhs","2Story",8,5,1999,2000,"Gable","MetalSd","MetalSd","BrkFace",456,"Gd","TA","PConc","Gd","No","GLQ",649,321,970,"Ex","Y","SBrkr",983,756,1739,1,0,2,1,3,"Gd",7,0,"Attchd","Fin",2,480,"Y",115,0,8,2009,"WD","Abnorml",172500
"58",58,60,"RL",11645,"IR1","Corner","CollgCr","Norm","1Fam","2Story",7,5,2004,2004,"Gable","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","No","Unf",0,860,860,"Ex","Y","SBrkr",860,860,1720,0,0,2,1,3,"Gd",7,0,"Attchd","RFn",2,565,"Y",0,70,8,2006,"WD","Normal",196500
"59",59,60,"RL",13682,"IR2","CulDSac","StoneBr","Norm","1Fam","2Story",10,5,2006,2006,"Hip","VinylSd","VinylSd","BrkFace",1031,"Ex","TA","PConc","Ex","Gd","Unf",0,1410,1410,"Ex","Y","SBrkr",1426,1519,2945,0,0,3,1,3,"Gd",10,1,"BuiltIn","Fin",3,641,"Y",192,0,10,2006,"New","Partial",438780
"60",60,20,"RL",7200,"Reg","Inside","CollgCr","Norm","1Fam","1Story",5,7,1972,1972,"Gable","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","Av","ALQ",632,148,780,"Ex","Y","SBrkr",780,0,780,0,0,1,0,2,"TA",4,0,"Detchd","Unf",1,352,"Y",196,0,1,2008,"WD","Normal",124900
"61",61,20,"RL",13072,"Reg","Inside","SawyerW","RRAe","1Fam","1Story",6,5,2004,2004,"Gable","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","No","ALQ",941,217,1158,"Ex","Y","SBrkr",1158,0,1158,1,0,1,1,3,"Gd",5,0,"Detchd","Unf",2,576,"Y",0,50,5,2006,"New","Partial",158000
"62",62,75,"RM",7200,"Reg","Inside","IDOTRR","Norm","1Fam","2.5Unf",5,7,1920,1996,"Gable","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","No","Unf",0,530,530,"TA","N","SBrkr",581,530,1111,0,0,1,0,3,"Fa",6,0,"Detchd","Unf",1,288,"N",0,0,3,2007,"WD","Normal",101000
"63",63,120,"RL",6442,"IR1","Inside","NridgHt","Norm","TwnhsE","1Story",8,5,2006,2006,"Gable","VinylSd","VinylSd","Stone",178,"Gd","TA","PConc","Gd","Mn","GLQ",24,1346,1370,"Ex","Y","SBrkr",1370,0,1370,0,0,2,0,2,"Gd",6,1,"Attchd","RFn",2,484,"Y",120,49,10,2007,"WD","Normal",202500
"64",64,70,"RM",10300,"IR1","Inside","OldTown","RRAn","1Fam","2Story",7,6,1921,1950,"Gable","Stucco","Stucco","None",0,"TA","TA","BrkTil","TA","No","Unf",0,576,576,"Gd","Y","SBrkr",902,808,1710,0,0,2,0,3,"TA",9,0,"Detchd","Unf",2,480,"Y",12,11,4,2010,"WD","Normal",140000
"65",65,60,"RL",9375,"Reg","Inside","CollgCr","Norm","1Fam","2Story",7,5,1997,1998,"Gable","VinylSd","VinylSd","BrkFace",573,"TA","TA","PConc","Gd","No","GLQ",739,318,1057,"Ex","Y","SBrkr",1057,977,2034,1,0,2,1,3,"Gd",8,0,"Attchd","RFn",2,645,"Y",576,36,2,2009,"WD","Normal",219500
"66",66,60,"RL",9591,"Reg","Inside","NridgHt","Norm","1Fam","2Story",8,5,2004,2005,"Gable","VinylSd","VinylSd","BrkFace",344,"Gd","TA","PConc","Ex","Av","Unf",0,1143,1143,"Ex","Y","SBrkr",1143,1330,2473,0,0,2,1,4,"Gd",9,1,"BuiltIn","RFn",3,852,"Y",192,151,10,2007,"WD","Normal",317000
"67",67,20,"RL",19900,"Reg","Inside","NAmes","PosA","1Fam","1Story",7,5,1970,1989,"Gable","Plywood","Plywood","BrkFace",287,"TA","TA","CBlock","Gd","Gd","GLQ",912,1035,1947,"TA","Y","SBrkr",2207,0,2207,1,0,2,0,3,"TA",7,1,"Attchd","RFn",2,576,"Y",301,0,7,2010,"WD","Normal",180000
"68",68,20,"RL",10665,"IR1","Inside","CollgCr","Norm","1Fam","1Story",7,5,2003,2003,"Gable","VinylSd","VinylSd","BrkFace",167,"Gd","TA","PConc","Gd","Av","GLQ",1013,440,1453,"Ex","Y","SBrkr",1479,0,1479,1,0,2,0,3,"Gd",7,0,"Attchd","RFn",2,558,"Y",144,29,6,2007,"WD","Normal",226000
"69",69,30,"RM",4608,"Reg","Corner","OldTown","Artery","1Fam","1Story",4,6,1945,1950,"Gable","MetalSd","MetalSd","None",0,"TA","Gd","CBlock","TA","No","Unf",0,747,747,"TA","Y","SBrkr",747,0,747,0,0,1,0,2,"TA",4,0,"Attchd","Unf",1,220,"Y",0,0,6,2010,"WD","Normal",80000
"70",70,50,"RL",15593,"Reg","Corner","ClearCr","Norm","1Fam","1.5Fin",7,4,1953,1953,"Gable","BrkFace","AsbShng","None",0,"Gd","TA","CBlock","TA","No","BLQ",603,701,1304,"TA","Y","SBrkr",1304,983,2287,0,0,2,0,3,"TA",7,1,"Attchd","Fin",2,667,"Y",0,21,7,2006,"WD","Normal",225000
"71",71,20,"RL",13651,"IR1","Inside","NAmes","Norm","1Fam","1Story",7,6,1973,1973,"Gable","Plywood","Plywood","BrkFace",1115,"TA","Gd","CBlock","Gd","Gd","ALQ",1880,343,2223,"Ex","Y","SBrkr",2223,0,2223,1,0,2,0,3,"TA",8,2,"Attchd","Fin",2,516,"Y",300,0,2,2007,"WD","Normal",244000
"72",72,20,"RL",7599,"Reg","Corner","Mitchel","Norm","1Fam","1Story",4,6,1982,2006,"Gable","HdBoard","Plywood","None",0,"TA","TA","CBlock","TA","No","ALQ",565,280,845,"TA","Y","SBrkr",845,0,845,1,0,1,0,2,"TA",4,0,"Detchd","Unf",2,360,"Y",0,0,6,2007,"WD","Normal",129500
